 bangalore | bangalore south(banashankari) | k gollahalli                      |31154| KUMBALAGODU                           | 2014-08-18 | 2015-12-30 |10|13|7|8|2|1|0|2|2|1|1|1|0|1|1|0|1|1|1|1|1|1|2|2|1|1|2|1|1|2|0|0|1|2|0|0
 bangalore | bangalore south(banashankari) | k gollahalli                      |33635| KULLEGOWDANAPALYA                     | 2014-08-18 | 2015-12-30 |8|5|8|5|2|1|1|2|2|1|1|1|0|1|1|0|1|1|1|1|1|1|2|2|1|1|2|0|1|2|0|0|1|2|0|0
 bangalore | bangalore south(banashankari) | k gollahalli                      |31377| DEVAGERE                              | 2014-08-18 | 2015-12-30 |6|11|6|5|2|1|1|2|2|1|1|1|0|1|1|0|0|1|1|1|1|1|2|2|1|1|2|0|1|2|0|0|1|2|0|0
 bangalore | bangalore south(banashankari) | k gollahalli                      |30703| H.GOLLAHALLI                          | 2014-08-18 | 2015-12-30 |11|11|7|9|2|1|1|2|2|1|1|1|0|1|1|1|1|1|1|1|1|1|2|2|1|1|2|0|1|2|0|0|0|2|1|0
 bangalore | bangalore south(banashankari) | varthur                           |31365| KUNDALAHALLI                          | 2014-08-18 | 2015-12-30 |7|15|5|14|0|0|0|0|0|1|1|1|0|1|1|0|0|1|1|1|1|0|2|2|1|1|0|0|1|1|0|0|1|2|1|0
 bangalore | bangalore south(banashankari) | varthur                           |33788| HAGADOORU                             | 2014-08-18 | 2015-12-30 |11|14|10|12|2|1|1|2|2|1|1|1|0|2|1|0|1|1|1|1|1|0|2|2|1|1|2|0|1|2|0|0|1|2|1|0
 bangalore | bangalore south(banashankari) | varthur                           |33757| MUNNE KOLALA GRAMA                    | 2014-08-18 | 2015-12-30 |15|9|9|4|2|0|1|1|2|1|1|1|0|1|1|0|1|0|1|1|1|0|2|2|1|1|2|0|1|1|0|0|1|2|0|0
 bangalore | bangalore south(banashankari) | varthur                           |33749| IMMADIHALLI                           | 2014-08-18 | 2015-12-30 |10|13|9|10|2|0|0|0|2|0|1|0|0|1|1|0|1|0|1|1|1|0|2|2|1|1|2|0|1|2|0|0|1|2|0|0
 bangalore | bangalore south(banashankari) | varthur                           |30943| GANDHIPURA                            | 2014-08-18 | 2015-12-30 |13|15|11|10|2|1|1|2|2|1|1|1|0|2|1|0|1|1|1|1|1|0|2|2|1|1|2|1|1|2|0|0|1|2|0|0
 bangalore | bangalore state               | gavipura guttahalli               |31107| DHOBIGHAT 1                           | 2014-08-18 | 2015-12-30 |14|7|10|5|2|0|0|2|2|0|1|1|0|1|1|0|1|0|0|1|1|0|2|2|1|1|0|0|1|2|0|0|1|2|0|0
 bangalore | bangalore state               | gavipura guttahalli               |31078| KALIDAS NAGAR                         | 2014-08-18 | 2015-12-30 |8|7|5|5|2|1|0|0|0|1|1|1|0|2|1|0|1|1|1|1|1|1|2|2|1|1|0|0|1|2|0|0|1|2|0|0
 bangalore | bangalore state               | gavipura guttahalli               |30667| VINYAKNAGAR                           | 2014-08-18 | 2015-12-30 |9|9|9|8|2|0|1|2|2|1|1|1|0|1|1|0|1|0|0|1|1|0|1|2|1|1|0|0|0|2|0|0|1|2|0|0
 bangalore | bangalore state               | gavipura guttahalli               |30672| ITTAMADU 1                            | 2014-08-18 | 2015-12-30 |11|9|8|6|2|0|0|0|2|1|1|1|0|1|1|0|0|0|0|1|1|0|2|2|1|1|1|0|1|2|0|0|1|2|0|0
 bangalore | bangalore state               | gavipura guttahalli               |31066| HOSSAKERE HALLI                       | 2014-08-18 | 2015-12-30 |9|15|6|10|2|0|1|1|0|1|1|1|0|2|1|0|0|0|0|1|1|1|2|2|2|2|0|0|1|2|0|0|1|2|0|0
 bangalore | bangalore state               | gavipura guttahalli               |31084| DHOBI GHAT 2                          | 2014-08-18 | 2015-12-30 |12|5|8|3|2|0|0|2|2|1|1|1|0|1|1|0|1|0|0|1|1|0|2|2|1|1|0|0|1|2|0|0|1|2|1|0
 bangalore | bangalore state               | gavipura guttahalli               |36454| GIRI NAGARA 1st                       | 2014-08-18 | 2015-12-30 |11|15|10|12|2|1|1|2|2|1|1|1|1|1|1|0|0|0|1|1|1|1|2|2|1|1|2|0|1|2|0|0|1|2|0|0
 bangalore | bangalore state               | gavipura guttahalli               |36597| BHUVANESHWARI NAGARA                  | 2014-08-18 | 2015-12-30 |8|15|8|9|1|0|0|0|2|0|1|1|0|1|1|1|1|0|0|1|1|0|2|2|1|1|0|0|1|1|0|0|1|2|1|0
 bangalore | bangalore state               | gavipura guttahalli               |30674| GIRI NAGARA 2nd                       | 2014-08-18 | 2015-12-30 |14|16|9|9|2|1|1|2|2|1|1|1|1|1|1|0|0|0|1|1|1|1|2|2|1|1|2|0|1|2|0|0|1|2|1|0
 bangalore | bangalore state               | sri rampura                       |29635| N.P BLOCK 111                         | 2014-08-18 | 2015-12-30 |20|30|4|9|2|0|0|1|0|0|1|0|0|0|1|0|0|0|1|1|1|0|2|0|0|0|0|0|1|2|0|0|1|0|0|0
 bangalore | bangalore state               | sri rampura                       |29628| N.P BLOCK 2                           | 2014-08-18 | 2015-12-30 |12|13|7|5|2|0|0|2|2|0|0|1|0|0|1|0|1|0|1|1|1|0|2|0|0|1|0|0|1|1|0|0|0|2|0|0
 bangalore | bangalore state               | sri rampura                       |29616| BAPUJI BLOCK                          | 2014-08-18 | 2015-12-30 |16|21|2|5|2|0|0|1|0|0|0|1|0|0|1|1|0|0|0|1|1|0|2|0|0|0|2|0|1|0|0|0|1|0|0|1
 bangalore | bangalore state               | sri rampura                       |29657| MARIYAPPANAPALYA                      | 2014-08-18 | 2015-12-30 |10|14|5|10|2|1|0|2|2|1|1|1|1|1|1|0|0|1|1|1|1|1|2|2|0|1|2|1|1|1|0|0|1|2|0|0
 bangalore | bangalore state               | wilson garden                     |34109| DAYANANDA 2                           | 2014-08-18 | 2015-12-30 |10|8|8|8|2|0|0|2|2|1|1|1|0|1|1|0|0|1|1|1|1|0|1|0|0|0|1|0|1|1|0|0|1|2|0|0
 bangalore | bangalore state               | wilson garden                     |30632| HOMBEGOWDA SLUM                       | 2014-08-18 | 2015-12-30 |9|11|7|8|0|0|0|0|0|0|0|1|0|1|1|0|1|1|1|1|1|0|1|1|0|0|1|0|1|1|0|0|1|2|0|0
 bangalore | bangalore state               | wilson garden                     |34106| DAYANANDA 1                           | 2014-08-18 | 2015-12-30 |9|11|7|10|2|1|0|2|1|1|1|1|0|0|1|0|0|1|1|1|1|1|2|0|0|0|0|0|0|1|0|0|1|1|0|1
 bangalore | bangalore state               | wilson garden                     |31515| LALBAGH SIDDAPURA                     | 2014-08-18 | 2015-12-30 |14|17|11|14|2|0|0|0|2|1|1|1|0|1|1|0|1|0|0|1|1|0|1|0|0|0|1|0|1|1|0|0|1|2|0|0
 bangalore | bangalore state               | yashwanthpura                     |29696| SUBRAMANYA NAGAR                      | 2014-08-18 | 2015-12-30 |35|40|26|30|2|0|0|2|2|1|0|1|1|0|1|0|1|1|1|1|1|1|2|2|1|1|0|0|1|2|0|1|1|2|0|1
 bangalore | bangalore state               | yashwanthpura                     |37167| SUBEDARAPALYA 2                       | 2014-08-18 | 2015-12-30 |10|12|9|10|2|1|1|2|0|1|1|1|1|0|1|0|0|0|1|1|1|1|2|0|0|0|1|0|1|2|0|0|1|0|0|0
 bangalore | bangalore state               | yashwanthpura                     |36486| SHAREEF NAGARA                        | 2014-08-18 | 2015-12-30 |10|10|10|10|2|0|0|0|0|0|0|0|0|0|1|0|1|0|1|1|1|1|2|0|0|0|2|0|1|2|1|1|1|2|0|0
 bangalore | sumangali seva ashrama        | dodda banaswadi                   |34021| PERIYAR NAGAR-I                       | 2014-08-18 | 2015-12-30 |7|7|7|7|1|1|1|0|2|1|1|1|0|1|1|0|1|1|1|1|1|0|2|2|1|1|0|0|1|1|1|1|1|2|0|0
 bangalore | sumangali seva ashrama        | dodda banaswadi                   |29599| MRSPALYA 1                            | 2014-08-18 | 2015-12-30 |11|13|10|10|1|0|1|2|2|1|1|1|0|0|1|0|1|1|1|1|1|1|2|2|1|1|0|0|1|1|1|0|1|2|1|0
 bangalore | sumangali seva ashrama        | dodda banaswadi                   |30296| MUNESHWARA NAGARA                     | 2014-08-18 | 2015-12-30 |4|11|4|11|2|1|1|2|2|1|1|1|0|1|1|0|1|1|1|1|1|1|2|2|1|1|0|0|1|1|1|0|1|2|0|0
 bangalore | sumangali seva ashrama        | dodda banaswadi                   |30302| GANDHI GRAMA                          | 2014-08-18 | 2015-12-30 |8|9|8|9|0|1|1|2|2|1|1|1|0|1|1|0|1|1|1|1|1|1|1|2|1|1|0|0|1|1|1|0|1|2|0|0
 bangalore | sumangali seva ashrama        | dodda banaswadi                   |34038| K.G.HALLI                             | 2014-08-18 | 2015-12-30 |9|13|9|13|2|0|0|2|2|1|1|1|1|1|1|0|0|1|1|1|1|1|1|0|0|0|0|0|1|1|0|0|1|0|0|0
 bangalore | sumangali seva ashrama        | dodda banaswadi                   |30322| M.R.S.PALYA 2                         | 2014-08-18 | 2015-12-30 |6|16|6|12|1|0|1|2|2|1|1|1|0|0|1|0|1|1|1|1|1|1|2|2|1|1|0|0|1|1|1|0|1|2|0|0
 bangalore | sumangali seva ashrama        | dodda banaswadi                   |29619| KASTURI NAGAR                         | 2014-08-18 | 2015-12-30 |16|14|14|14|2|1|0|2|0|0|1|1|0|2|1|0|1|0|1|1|1|0|2|2|1|1|2|1|1|2|0|0|1|2|1|1
 bangalore | sumangali seva ashrama        | dodda banaswadi                   |30311| CHELEKERE                             | 2014-08-18 | 2015-12-30 |13|12|13|12|2|1|1|2|2|1|1|1|0|1|1|0|1|1|1|1|1|1|2|2|1|1|0|0|1|2|1|1|1|1|0|0
 bangalore | sumangali seva ashrama        | dodda banaswadi                   |30626| PERIYAR NAGAR II                      | 2014-08-18 | 2015-12-30 |8|6|8|6|1|1|1|0|2|1|1|1|0|1|1|0|1|1|1|1|1|0|2|2|1|1|0|0|1|1|1|1|1|2|0|0
 bangalore | sumangali seva ashrama        | dodda banaswadi                   |30765| LAKSHMANMURTHI NAGAR                  | 2014-08-18 | 2015-12-30 |14|9|10|5|2|0|0|2|2|1|1|1|0|0|1|0|1|1|1|1|1|1|2|2|1|1|0|0|1|1|1|1|1|2|0|0
 bangalore | sumangali seva ashrama        | dodda banaswadi                   |30310| C.S.I.                                | 2014-08-18 | 2015-12-30 |5|10|3|9|1|0|0|2|2|1|1|1|0|1|1|1|0|1|1|1|1|1|2|0|0|0|0|0|1|1|1|0|1|2|0|0
 bangalore | sumangali seva ashrama        | dodda banaswadi                   |30419| PILLA REDDY NAGARA                    | 2014-08-18 | 2015-12-30 |15|4|15|4|2|1|1|2|2|1|1|1|0|1|1|0|1|1|1|1|1|1|2|2|1|1|0|0|1|2|1|0|1|2|0|0
 bangalore | sumangali seva ashrama        | dodda banaswadi                   |29604| KARIYAN PALYA1                        | 2014-08-18 | 2015-12-30 |5|17|5|15|1|1|1|2|2|1|1|1|0|1|1|0|0|1|1|1|1|0|2|2|1|1|0|0|1|1|1|0|1|2|0|0
 bangalore | sumangali seva ashrama        | kodihalli                         |33458| DOMMALURU                             | 2014-08-18 | 2015-12-30 |12|19|8|12|2|1|0|2|2|0|1|1|0|1|1|0|1|0|1|1|1|0|2|2|1|1|1|0|1|2|0|0|1|1|0|0
 bangalore | sumangali seva ashrama        | kodihalli                         |30404| BENNIGANA HALLI                       | 2014-08-18 | 2015-12-30 |11|12|9|9|2|1|1|1|2|1|1|1|0|0|1|0|0|0|1|1|1|0|0|2|1|1|1|0|1|2|0|1|1|2|0|0
 bangalore | sumangali seva ashrama        | kodihalli                         |30670| NELLURPURAM 3                         | 2014-08-18 | 2015-12-30 |12|13|10|12|2|1|1|2|2|1|1|1|0|1|1|0|1|1|1|1|1|1|2|2|1|1|0|0|1|1|1|0|1|2|0|0
 bangalore | sumangali seva ashrama        | kodihalli                         |30664| KODIHALLI                             | 2014-08-18 | 2015-12-30 |12|19|11|19|2|1|1|2|2|1|1|1|2|1|1|0|1|0|1|1|1|1|2|2|1|1|2|0|1|2|0|1|1|2|0|0
 bangalore | sumangali seva ashrama        | kodihalli                         |34027| NELLURPURAM 1                         | 2014-08-18 | 2015-12-30 |6|19|4|16|2|1|1|0|2|1|1|1|0|1|1|0|1|1|1|1|1|1|2|2|1|1|1|0|1|1|1|0|1|2|0|0
 bangalore | sumangali seva ashrama        | kodihalli                         |31361| NANJAREDDI COLONY                     | 2014-08-18 | 2015-12-30 |13|14|10|13|2|1|1|2|2|1|1|1|2|0|1|0|1|1|1|1|1|0|2|2|1|1|2|0|1|2|0|0|1|2|0|0
 bangalore | sumangali seva ashrama        | kodihalli                         |36444| KODIHALLI -2                          | 2014-08-18 | 2015-12-30 |9|16|6|6|2|0|0|0|2|0|1|0|0|0|1|0|1|0|1|1|1|0|2|2|1|1|0|0|1|2|0|0|1|2|0|0
 bangalore | sumangali seva ashrama        | koramangala                       |36317| ANEPALYA                              | 2014-08-18 | 2015-12-30 |6|16|4|11|0|1|0|0|2|0|1|1|0|0|1|0|0|0|1|1|1|0|2|0|0|1|1|0|1|2|0|0|1|0|0|0
 bangalore | sumangali seva ashrama        | koramangala                       |36318| LALABAG SIDDAPURA2                    | 2014-08-18 | 2015-12-30 |18|10|15|8|2|0|0|0|2|0|0|1|0|1|1|0|1|0|0|0|1|0|1|1|0|0|1|0|1|1|0|0|1|2|0|0
 bangalore | sumangali seva ashrama        | koramangala                       |31059| RAJENDRA NAGAR 1                      | 2014-08-18 | 2015-12-30 |8|8|8|8|1|0|0|0|2|0|0|0|0|0|0|0|0|0|1|1|1|0|2|0|0|0|0|0|1|2|0|0|1|0|0|0
 bangalore | sumangali seva ashrama        | koramangala                       |30629| KORMANGALA                            | 2014-08-18 | 2015-12-30 |9|10|8|6|2|1|1|0|2|1|1|1|0|0|1|0|1|0|1|1|1|0|2|2|1|1|1|0|1|0|0|0|1|0|0|0
 bangalore | sumangali seva ashrama        | koramangala                       |31119| CARD MANI 1                           | 2014-08-18 | 2015-12-30 |5|5|3|1|2|1|1|2|2|1|1|1|0|1|1|0|0|0|1|1|1|1|2|2|1|1|2|0|1|0|0|0|1|2|0|0
 bangalore | sumangali seva ashrama        | koramangala                       |33460| JAYA RAJNAGARA                        | 2014-08-18 | 2015-12-30 |9|9|11|7|0|1|1|0|0|1|1|1|0|0|1|0|0|0|1|1|1|0|0|0|0|0|1|1|1|2|0|1|1|1|0|0
 bangalore | sumangali seva ashrama        | koramangala                       |30593| SHASTRI NAGAR                         | 2014-08-18 | 2015-12-30 |9|9|9|9|0|1|0|2|2|0|1|1|0|2|1|0|1|0|1|1|1|0|2|0|0|1|2|0|1|0|0|0|1|0|0|0
 bangalore | sumangali seva ashrama        | koramangala                       |30639| L.R NAGAR 2                           | 2014-08-18 | 2015-12-30 |10|12|6|8|1|0|0|0|1|0|0|1|0|0|1|0|0|0|0|1|1|0|2|2|1|1|0|0|1|0|0|0|1|1|0|0
 bangalore | sumangali seva ashrama        | koramangala                       |36573| SONNENA HALLI  1(KORAMANAGAL VILLAGE) | 2014-08-18 | 2015-12-30 |12|14|6|9|2|1|1|2|2|1|1|1|0|0|1|0|0|0|1|1|1|0|2|0|0|1|1|0|1|0|0|0|1|0|0|0
 bangalore | sumangali seva ashrama        | koramangala                       |35484| P.K.R NAGAR                           | 2014-08-18 | 2015-12-30 |19|12|8|9|2|1|1|0|0|1|1|1|0|0|1|0|0|1|1|1|1|0|2|2|1|1|2|1|1|0|0|0|1|1|0|0
 bangalore | sumangali seva ashrama        | murphy town                       |30995| GUDADHAHALLI-2                        | 2014-08-18 | 2015-12-30 |12|15|11|13|1|1|1|2|2|1|1|1|1|0|1|0|1|0|1|1|1|1|2|2|1|1|2|0|1|1|0|0|1|2|0|0
 bangalore | sumangali seva ashrama        | murphy town                       |36558| WAHAB GARDEN                          | 2014-08-18 | 2015-12-30 |10|5|7|4|1|1|1|2|2|1|1|1|0|1|1|0|1|1|1|1|1|0|2|0|0|0|0|0|1|1|0|0|1|0|0|0
 bangalore | sumangali seva ashrama        | murphy town                       |31290| SUBRAMANYANAGAR                       | 2014-08-18 | 2015-12-30 |8|9|7|8|1|0|0|2|1|1|1|1|1|0|1|0|1|1|1|1|1|1|2|2|0|1|1|0|1|2|1|1|1|1|0|0
 bangalore | sumangali seva ashrama        | murphy town                       |30990| VAIYALIKAVAL                          | 2014-08-18 | 2015-12-30 |10|9|10|9|2|1|0|2|2|1|1|1|1|2|1|0|1|1|1|1|1|1|2|2|0|1|0|0|1|2|0|0|1|2|0|0
 bangalore | sumangali seva ashrama        | murphy town                       |33728| SATHYAMNAGAR                          | 2014-08-18 | 2015-12-30 |9|8|8|7|2|1|1|1|2|1|1|1|0|0|1|0|0|1|1|1|1|1|2|0|0|0|1|0|1|1|0|0|1|1|1|1
 bangalore | sumangali seva ashrama        | murphy town                       |30991| GUDADHAHALLI-1                        | 2014-08-18 | 2015-12-30 |7|11|3|7|1|1|1|2|0|1|1|1|1|0|1|0|1|0|1|1|1|1|2|2|1|1|2|0|1|0|0|0|1|2|0|0
 bangalore | sumangali seva ashrama        | subhramani nagara                 |37779| milk colony                           | 2014-08-18 | 2015-12-30 |8|12|7|10|2|1|0|2|2|1|1|1|1|1|0|1|1|1|1|1|1|1|2|2|1|1|0|0|1|2|0|0|1|2|0|0
 bangalore | sumangali seva ashrama        | sultanpalya                       |36593| GANDHI NAGAR  II                      | 2014-08-18 | 2015-12-30 |14|13|14|13|2|0|0|2|2|1|1|1|0|1|1|0|1|1|1|1|1|0|1|0|0|0|0|0|1|1|0|0|1|1|0|0
 bangalore | sumangali seva ashrama        | sultanpalya                       |30292| KUNTHIGRAMA                           | 2014-08-18 | 2015-12-30 |39|33|35|30|0|1|0|0|0|1|0|1|1|0|1|0|1|1|1|1|1|1|2|2|1|1|2|0|1|2|0|1|1|2|0|0
 bangalore | sumangali seva ashrama        | sultanpalya                       |30366| MANORAYANPALYA                        | 2014-08-18 | 2015-12-30 |13|8|12|8|0|1|0|2|2|1|1|1|1|0|1|0|0|0|1|1|1|0|2|2|1|1|0|0|1|2|1|1|1|2|0|1
 bangalore | sumangali seva ashrama        | sultanpalya                       |30318| MUNARREDYPALY                         | 2014-08-18 | 2015-12-30 |13|9|13|9|2|1|1|0|2|1|1|1|0|1|1|0|0|0|1|1|1|0|2|0|0|0|1|0|1|1|0|0|1|1|0|0
 bangalore | sumangali seva ashrama        | sultanpalya                       |29605| VENKATESHPURA                         | 2014-08-18 | 2015-12-30 |11|15|10|12|2|0|0|0|2|1|1|1|0|1|1|0|1|1|1|1|1|0|2|0|0|0|0|0|1|1|0|0|1|1|0|0
 dharwad   | Hubli-Dharwad urban           | Ananda Nagara (heggeri)           |37784| Ananda Nagara - 2                     | 2014-08-18 | 2015-12-30 |27|20|20|18|2|1|0|0|2|1|1|0|0|0|1|0|0|1|1|0|1|1|2|1|1|0|1|0|1|1|0|0|1|1|0|0
 dharwad   | Hubli-Dharwad urban           | Ananda Nagara (heggeri)           |37787| Tharihala - 3                         | 2014-08-18 | 2015-12-30 |15|28|12|25|2|0|0|2|2|1|1|1|0|0|1|0|0|1|1|1|1|1|2|0|0|0|1|0|1|1|0|0|1|1|0|0
 dharwad   | Hubli-Dharwad urban           | Ananda Nagara (heggeri)           |37781| Krishna Colony                        | 2014-08-18 | 2015-12-30 |28|40|24|26|0|1|1|0|2|1|0|1|0|0|1|0|0|1|0|0|1|0|2|0|0|0|0|0|1|1|0|0|1|1|0|0
 dharwad   | Hubli-Dharwad urban           | Ananda Nagara (heggeri)           |37785| Tharihala - 1                         | 2014-08-18 | 2015-12-30 |18|20|15|15|2|1|1|1|2|1|1|1|0|0|1|0|0|1|1|1|1|1|2|0|0|0|1|0|1|1|0|0|1|1|0|1
 dharwad   | Hubli-Dharwad urban           | Ananda Nagara (heggeri)           |37788| Gokul - 1                             | 2014-08-18 | 2015-12-30 |10|28|10|26|0|0|0|0|2|1|0|0|0|1|1|0|0|0|0|1|1|1|2|0|0|0|1|1|1|1|0|0|1|1|0|0
 dharwad   | Hubli-Dharwad urban           | Ananda Nagara (heggeri)           |37793| Ananda Nagara 7th cross               | 2014-08-18 | 2015-12-30 |20|20|15|15|1|1|0|0|2|1|1|1|0|1|1|0|0|1|1|1|1|1|2|2|0|1|0|0|1|1|0|0|1|1|0|0
 dharwad   | Hubli-Dharwad urban           | Ananda Nagara (heggeri)           |37782| H.H.S Hospital                        | 2014-08-18 | 2015-12-30 |24|29|10|20|0|1|1|0|2|1|0|1|0|0|1|0|0|1|0|0|1|0|2|0|0|0|2|0|1|1|0|0|1|1|0|0
 dharwad   | Hubli-Dharwad urban           | Ananda Nagara (heggeri)           |37792| Ananda Nagara                         | 2014-08-18 | 2015-12-30 |20|25|13|25|1|1|0|0|2|1|1|1|0|1|1|0|1|0|0|1|1|1|2|2|0|1|0|0|1|1|0|0|1|1|0|0
 dharwad   | Hubli-Dharwad urban           | Ananda Nagara (heggeri)           |37790| Gokul - 3                             | 2014-08-18 | 2015-12-30 |10|21|8|18|2|0|0|0|2|0|1|1|0|0|0|0|0|0|0|1|1|1|2|0|0|0|0|0|1|1|0|0|1|1|0|0
 dharwad   | Hubli-Dharwad urban           | Ananda Nagara (heggeri)           |37783| Ananda Nagara - 4                     | 2014-08-18 | 2015-12-30 |27|18|15|10|2|1|1|0|2|1|0|1|0|0|1|0|0|0|0|1|1|0|0|0|0|0|2|0|1|1|0|0|1|1|0|0
 dharwad   | Hubli-Dharwad urban           | Ananda Nagara (heggeri)           |37789| Nanda Gokul - 2                       | 2014-08-18 | 2015-12-30 |11|20|8|19|0|0|1|0|2|1|1|1|0|0|1|0|0|0|0|1|1|1|2|0|0|0|0|0|1|1|0|0|1|1|0|0
 dharwad   | Hubli-Dharwad urban           | Ananda Nagara (heggeri)           |37786| Tharihala - 2                         | 2014-08-18 | 2015-12-30 |15|20|12|18|2|1|0|0|2|1|1|0|0|0|0|0|0|1|1|1|1|1|2|0|0|0|1|1|1|1|0|0|1|1|0|0
 dharwad   | Hubli-Dharwad urban           | HDMC                              |36635| Baraimam galli -2                     | 2014-08-18 | 2015-12-30 |24|27|11|12|1|0|0|0|2|1|1|1|0|2|1|0|1|1|1|1|1|1|2|2|1|1|0|0|1|1|0|0|1|2|0|0
 dharwad   | Hubli-Dharwad urban           | HDMC                              |36616| Doragalli-2                           | 2014-08-18 | 2015-12-30 |19|21|9|7|0|1|0|0|1|1|1|1|0|1|1|0|1|0|0|1|1|1|1|1|1|1|1|1|1|1|0|0|1|0|0|0
 dharwad   | Hubli-Dharwad urban           | HDMC                              |36605| Hebbali agasi-2                       | 2014-08-18 | 2015-12-30 |16|12|8|7|1|1|0|0|1|1|1|1|1|2|1|0|1|1|1|1|1|1|1|2|1|1|1|0|1|1|0|0|1|1|0|0
 dharwad   | Hubli-Dharwad urban           | HDMC                              |36604| Hebbali agasi-1                       | 2014-08-18 | 2015-12-30 |14|18|14|16|0|1|0|0|2|1|1|1|0|2|1|0|1|1|1|1|1|1|2|2|1|1|0|0|1|1|0|0|1|2|0|0
 dharwad   | Hubli-Dharwad urban           | HDMC                              |36644| Bisti galli                           | 2014-08-18 | 2015-12-30 |22|23|9|10|1|0|0|2|2|0|1|1|0|2|1|1|1|0|0|1|1|0|2|2|1|1|0|0|1|1|1|0|1|2|0|0
 dharwad   | Hubli-Dharwad urban           | HDMC                              |36637| Rasul Pur -2                          | 2014-08-18 | 2015-12-30 |18|22|15|18|1|0|0|0|2|1|1|1|0|2|1|0|1|0|0|1|1|1|2|2|1|1|0|0|1|1|0|0|1|2|0|1
 dharwad   | Hubli-Dharwad urban           | HDMC                              |36612| Ghanesh nagar                         | 2014-08-18 | 2015-12-30 |11|12|11|10|2|1|0|0|1|1|1|1|0|2|1|0|1|0|0|1|1|1|2|2|1|1|0|0|1|1|0|0|1|2|0|0
 dharwad   | Hubli-Dharwad urban           | HDMC                              |36619| Siddharode colony                     | 2014-08-18 | 2015-12-30 |16|23|14|10|1|0|0|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|0|0|1|1|0|0|1|2|0|0
 dharwad   | Hubli-Dharwad urban           | HDMC                              |36615| Madihal-1                             | 2014-08-18 | 2015-12-30 |20|12|12|5|2|1|1|1|1|1|1|1|0|2|1|0|1|0|0|1|1|1|1|1|1|1|1|0|1|1|0|0|1|2|0|0
 dharwad   | Hubli-Dharwad urban           | HDMC                              |36610| Marata colony                         | 2014-08-18 | 2015-12-30 |19|16|8|9|1|0|0|2|2|1|1|1|0|2|1|0|1|1|1|1|1|1|2|2|1|1|0|0|1|1|0|0|0|2|0|0
 dharwad   | Hubli-Dharwad urban           | HDMC                              |36300| Gollar colony-1                       | 2014-08-18 | 2015-12-30 |15|19|10|11|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|0|0|1|2|0|0
 dharwad   | Hubli-Dharwad urban           | HDMC                              |36613| Gollar colony-2                       | 2014-08-18 | 2015-12-30 |13|20|9|17|0|0|0|0|1|1|0|1|1|2|1|1|1|0|1|1|1|1|1|1|1|1|0|0|1|1|0|0|1|2|1|0
 dharwad   | Hubli-Dharwad urban           | HDMC                              |36620| Baraimam galli -1(Balajimath )        | 2014-08-18 | 2015-12-30 |16|17|10|10|0|1|0|0|1|1|0|1|1|2|1|0|1|1|1|1|1|1|1|2|1|1|1|0|1|1|0|0|1|2|0|0
 dharwad   | Hubli-Dharwad urban           | HDMC                              |36618| Kerikelagin Oni                       | 2014-08-18 | 2015-12-30 |13|17|6|14|1|1|0|0|2|1|1|1|0|2|1|0|1|0|0|1|1|1|2|2|1|1|0|0|1|1|0|0|0|2|1|0
 dharwad   | Hubli-Dharwad urban           | HDMC                              |36607| Doragalli-1                           | 2014-08-18 | 2015-12-30 |20|21|12|15|1|0|1|0|2|1|1|1|0|2|1|0|1|1|1|1|1|1|2|2|1|1|0|0|1|1|0|0|1|2|0|0
